Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
11,20,RL,70.0,11200,Pave,missing,4,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,1,5,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,8,0,0,Detchd,1965.0,1,1.0,384.0,3,3,3,0,0,0,0,0,0,0,0,missing,0,2,2008,WD,Normal
12,60,RL,85.0,11924,Pave,missing,3,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,1,6,998.0,1,0.0,177.0,1175.0,GasA,5,1,5,1182,1142,0,2324,1.0,0.0,3,0,4,1,5,11,8,2,4,BuiltIn,2005.0,3,3.0,736.0,3,3,3,147,21,0,0,0,0,0,0,missing,0,7,2006,New,Partial
13,20,RL,0.0,12968,Pave,missing,2,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,1,5,737.0,1,0.0,175.0,912.0,GasA,3,1,5,912,0,0,912,1.0,0.0,1,0,2,1,3,4,8,0,0,Detchd,1962.0,1,1.0,352.0,3,3,3,140,0,0,0,176,0,0,0,missing,0,9,2008,WD,Normal
14,20,RL,91.0,10652,Pave,missing,3,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,3,1,0.0,1,0.0,1494.0,1494.0,GasA,5,1,5,1494,0,0,1494,0.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,2006.0,2,3.0,840.0,3,3,3,160,33,0,0,0,0,0,0,missing,0,8,2007,New,Partial
15,20,RL,0.0,10920,Pave,missing,3,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733.0,1,0.0,520.0,1253.0,GasA,3,1,5,1253,0,0,1253,1.0,0.0,1,1,2,1,3,5,8,1,2,Attchd,1960.0,2,1.0,352.0,3,3,3,0,213,176,0,0,0,0,2,missing,0,5,2008,WD,Normal
16,45,RM,51.0,6120,Pave,missing,4,4,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,832.0,832.0,GasA,5,1,4,854,0,0,854,0.0,0.0,1,0,2,1,3,5,8,0,0,Detchd,1991.0,1,2.0,576.0,3,3,3,48,112,0,0,0,0,0,4,missing,0,7,2007,WD,Normal
17,20,RL,0.0,11241,Pave,missing,3,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,1,5,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,8,1,3,Attchd,1970.0,3,2.0,480.0,3,3,3,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal
18,90,RL,72.0,10791,Pave,missing,4,4,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,1,5,1296,0,0,1296,0.0,0.0,2,0,2,2,3,6,8,0,0,CarPort,1967.0,1,2.0,516.0,3,3,3,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal
19,20,RL,66.0,13695,Pave,missing,4,4,4,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,6,646.0,1,0.0,468.0,1114.0,GasA,5,1,5,1114,0,0,1114,1.0,0.0,1,1,3,1,4,6,8,0,0,Detchd,2004.0,1,2.0,576.0,3,3,3,0,102,0,0,0,0,0,0,missing,0,6,2008,WD,Normal
20,20,RL,70.0,7560,Pave,missing,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,1,2,504.0,1,0.0,525.0,1029.0,GasA,3,1,5,1339,0,0,1339,0.0,0.0,1,0,3,1,3,6,7,0,0,Attchd,1958.0,1,1.0,294.0,3,3,3,0,0,0,0,0,0,0,3,missing,0,5,2009,COD,Abnorml
21,60,RL,101.0,14215,Pave,missing,3,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1158.0,1158.0,GasA,5,1,5,1158,1218,0,2376,0.0,0.0,3,1,4,1,4,9,8,1,4,BuiltIn,2005.0,2,3.0,853.0,3,3,3,240,154,0,0,0,0,0,0,missing,0,11,2006,New,Partial
22,45,RM,57.0,7449,Pave,Grvl,4,3,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,637.0,637.0,GasA,5,1,3,1108,0,0,1108,0.0,0.0,1,0,3,1,4,6,8,1,4,Attchd,1930.0,1,1.0,280.0,3,3,1,0,0,205,0,0,0,0,4,missing,0,6,2007,WD,Normal
23,20,RL,75.0,9742,Pave,missing,4,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1777.0,1777.0,GasA,5,1,5,1795,0,0,1795,0.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,2002.0,2,2.0,534.0,3,3,3,171,159,0,0,0,0,0,0,missing,0,9,2008,WD,Normal
24,120,RM,44.0,4224,Pave,missing,4,4,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,1,6,840.0,1,0.0,200.0,1040.0,GasA,3,1,5,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,8,1,3,Attchd,1976.0,1,2.0,572.0,3,3,3,100,110,0,0,0,0,0,0,missing,0,6,2007,WD,Normal
25,20,RL,0.0,8246,Pave,missing,3,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,2,3,188.0,5,668.0,204.0,1060.0,GasA,5,1,5,1060,0,0,1060,1.0,0.0,1,0,3,1,4,6,8,1,3,Attchd,1968.0,1,1.0,270.0,3,3,3,406,90,0,0,0,0,0,3,missing,0,5,2010,WD,Normal
26,20,RL,110.0,14230,Pave,missing,4,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1566.0,1566.0,GasA,5,1,5,1600,0,0,1600,0.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,2007.0,2,3.0,890.0,3,3,3,0,56,0,0,0,0,0,0,missing,0,7,2009,WD,Normal
27,20,RL,60.0,7200,Pave,missing,4,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,4,234.0,3,486.0,180.0,900.0,GasA,3,1,5,900,0,0,900,0.0,1.0,1,0,3,1,4,5,8,0,0,Detchd,2005.0,1,2.0,576.0,3,3,3,222,32,0,0,0,0,0,0,missing,0,5,2010,WD,Normal
28,20,RL,98.0,11478,Pave,missing,4,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,5,1,5,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,2008.0,2,3.0,772.0,3,3,3,0,50,0,0,0,0,0,0,missing,0,5,2010,WD,Normal
29,20,RL,47.0,16321,Pave,missing,3,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,4,1277.0,1,0.0,207.0,1484.0,GasA,3,1,5,1600,0,0,1600,1.0,0.0,1,0,2,1,3,6,8,2,4,Attchd,1957.0,2,1.0,319.0,3,3,3,288,258,0,0,0,0,0,0,missing,0,12,2006,WD,Normal
30,30,RM,60.0,6324,Pave,missing,3,4,4,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,520.0,520.0,GasA,2,0,5,520,0,0,520,0.0,0.0,1,0,1,1,2,4,8,0,0,Detchd,1920.0,1,1.0,240.0,2,3,3,49,0,87,0,0,0,0,0,missing,0,5,2008,WD,Normal
31,70,C (all),50.0,8500,Pave,Pave,4,4,4,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,1,1,0.0,1,0.0,649.0,649.0,GasA,3,0,5,649,668,0,1317,0.0,0.0,1,0,3,1,3,6,8,0,0,Detchd,1920.0,1,1.0,250.0,3,2,1,0,54,172,0,0,0,0,3,missing,0,7,2008,WD,Normal
32,20,RL,0.0,8544,Pave,missing,3,4,4,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,1228.0,1228.0,GasA,4,1,5,1228,0,0,1228,0.0,0.0,1,1,3,1,4,6,8,0,0,Attchd,1966.0,1,1.0,271.0,3,3,3,0,65,0,0,0,0,0,3,missing,0,6,2008,WD,Normal
33,20,RL,85.0,11049,Pave,missing,4,4,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1234.0,1234.0,GasA,5,1,5,1234,0,0,1234,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2007.0,2,2.0,484.0,3,3,3,0,30,0,0,0,0,0,0,missing,0,1,2008,WD,Normal
34,20,RL,70.0,10552,Pave,missing,3,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,1,3,1018.0,1,0.0,380.0,1398.0,GasA,4,1,5,1700,0,0,1700,0.0,1.0,1,1,4,1,4,6,8,1,4,Attchd,1959.0,2,2.0,447.0,3,3,3,0,38,0,0,0,0,0,0,missing,0,4,2010,WD,Normal
35,120,RL,60.0,7313,Pave,missing,4,4,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,1,6,1153.0,1,0.0,408.0,1561.0,GasA,5,1,5,1561,0,0,1561,1.0,0.0,2,0,2,1,5,6,8,1,4,Attchd,2005.0,3,2.0,556.0,3,3,3,203,47,0,0,0,0,0,0,missing,0,8,2007,WD,Normal
36,60,RL,108.0,13418,Pave,missing,4,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1117.0,1117.0,GasA,5,1,5,1132,1320,0,2452,0.0,0.0,3,1,4,1,4,9,8,1,4,BuiltIn,2004.0,3,3.0,691.0,3,3,3,113,32,0,0,0,0,0,0,missing,0,9,2006,WD,Normal
37,20,RL,112.0,10859,Pave,missing,4,4,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,1097.0,1097.0,GasA,5,1,5,1097,0,0,1097,0.0,0.0,1,1,3,1,3,6,8,0,0,Attchd,1995.0,1,2.0,672.0,3,3,3,392,64,0,0,0,0,0,0,missing,0,6,2009,WD,Normal
38,20,RL,74.0,8532,Pave,missing,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,1,3,1213.0,1,0.0,84.0,1297.0,GasA,4,1,5,1297,0,0,1297,0.0,1.0,1,0,3,1,3,5,8,1,3,Attchd,1954.0,3,2.0,498.0,3,3,3,0,0,0,0,0,0,0,0,missing,0,10,2009,WD,Normal
39,20,RL,68.0,7922,Pave,missing,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,8,0,0,Detchd,1953.0,1,1.0,246.0,3,3,3,0,52,0,0,0,0,0,0,missing,0,1,2010,WD,Abnorml
40,90,RL,65.0,6040,Pave,missing,4,4,4,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,0,2,1152,0,0,1152,0.0,0.0,2,0,2,2,2,6,8,0,0,missing,0.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,missing,0,6,2008,WD,AdjLand
41,20,RL,84.0,8658,Pave,missing,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,1,3,643.0,1,0.0,445.0,1088.0,GasA,5,1,5,1324,0,0,1324,0.0,0.0,2,0,3,1,3,6,8,1,3,Attchd,1965.0,2,2.0,440.0,3,3,3,0,138,0,0,0,0,0,2,missing,0,12,2006,WD,Abnorml
42,20,RL,115.0,16905,Pave,missing,4,4,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,4,4,967.0,1,0.0,383.0,1350.0,GasA,4,1,5,1328,0,0,1328,0.0,1.0,1,1,2,1,3,5,8,2,4,Attchd,1959.0,2,1.0,308.0,3,3,2,0,104,0,0,0,0,0,0,missing,0,7,2007,WD,Normal
43,85,RL,0.0,9180,Pave,missing,3,4,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,3,5,747.0,2,93.0,0.0,840.0,GasA,4,1,5,884,0,0,884,1.0,0.0,1,0,2,1,4,5,8,0,0,Attchd,1983.0,2,2.0,504.0,3,4,3,240,0,0,0,0,0,0,3,missing,0,12,2007,WD,Normal
44,20,RL,0.0,9200,Pave,missing,3,4,4,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,3,2,280.0,4,491.0,167.0,938.0,GasA,3,1,5,938,0,0,938,1.0,0.0,1,0,3,1,3,5,8,0,0,Detchd,1977.0,1,1.0,308.0,3,3,3,145,0,0,0,0,0,0,3,missing,0,7,2008,WD,Normal
45,20,RL,70.0,7945,Pave,missing,4,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,179.0,4,506.0,465.0,1150.0,GasA,5,1,4,1150,0,0,1150,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1959.0,2,1.0,300.0,3,3,3,0,0,0,0,0,0,0,0,missing,0,5,2006,WD,Normal
46,120,RL,61.0,7658,Pave,missing,4,4,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,1,6,456.0,1,0.0,1296.0,1752.0,GasA,5,1,5,1752,0,0,1752,1.0,0.0,2,0,2,1,5,6,8,1,4,Attchd,2005.0,2,2.0,576.0,3,3,3,196,82,0,0,0,0,0,0,missing,0,2,2010,WD,Normal
47,50,RL,48.0,12822,Pave,missing,3,4,4,CulDSac,3,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,1,6,1351.0,1,0.0,83.0,1434.0,GasA,5,1,5,1518,631,0,2149,1.0,0.0,1,1,1,1,4,6,8,1,5,Attchd,2003.0,2,2.0,670.0,3,3,3,168,43,0,0,198,0,0,0,missing,0,8,2009,WD,Abnorml
48,20,FV,84.0,11096,Pave,missing,4,4,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1632.0,1656.0,GasA,5,1,5,1656,0,0,1656,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2006.0,2,3.0,826.0,3,3,3,0,146,0,0,0,0,0,0,missing,0,7,2007,WD,Normal
49,190,RM,33.0,4456,Pave,missing,4,4,4,Inside,3,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,736.0,736.0,GasA,4,1,5,736,716,0,1452,0.0,0.0,2,0,2,3,3,8,8,0,0,missing,0.0,0,0.0,0.0,0,0,1,0,0,102,0,0,0,0,0,missing,0,6,2009,New,Partial
50,20,RL,66.0,7742,Pave,missing,4,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,4,763.0,1,0.0,192.0,955.0,GasA,5,1,5,955,0,0,955,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1966.0,1,1.0,386.0,3,3,3,0,0,0,0,0,0,0,3,missing,0,1,2007,WD,Normal
51,60,RL,0.0,13869,Pave,missing,2,4,4,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,3,6,182.0,1,0.0,612.0,794.0,GasA,4,1,5,794,676,0,1470,0.0,1.0,2,0,3,1,3,6,8,0,0,Attchd,1997.0,3,2.0,388.0,3,3,3,0,75,0,0,0,0,0,0,missing,0,7,2007,WD,Normal
52,50,RM,52.0,6240,Pave,missing,4,4,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,816.0,816.0,GasA,3,1,5,816,0,360,1176,0.0,0.0,1,0,3,1,3,6,8,1,4,Detchd,1985.0,1,2.0,528.0,3,3,3,112,0,0,0,0,0,0,3,Shed,400,9,2006,WD,Normal
53,90,RM,110.0,8472,Grvl,missing,2,3,4,Corner,2,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,4,2,104.0,6,712.0,0.0,816.0,GasA,3,0,5,816,0,0,816,1.0,0.0,1,0,2,1,3,5,8,0,0,CarPort,1963.0,1,2.0,516.0,3,3,3,106,0,0,0,0,0,0,0,missing,0,5,2010,WD,Normal
54,20,RL,68.0,50271,Pave,missing,3,1,4,Inside,3,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0.0,4,3,CBlock,5,3,4,6,1810.0,1,0.0,32.0,1842.0,GasA,4,1,5,1842,0,0,1842,2.0,0.0,0,1,0,1,4,5,8,1,4,Attchd,1981.0,3,3.0,894.0,3,3,3,857,72,0,0,0,0,0,0,missing,0,11,2006,WD,Normal
